date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:56	80652/80652	---M--	200	added ('OK')	application/octet-stream	etag:%22f5ce795a454dd51:0%22	https://www.mudes.org.br/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/fontawesome-webfontba72.ttf	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:57	202561/202561	---M--	200	added ('OK')	image/svg+xml	etag:%227db87a5a454dd51:0%22	https://www.mudes.org.br/fonts/fontawesome-webfont.svg?v=4.0.3	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/fontawesome-webfontba72.svg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:58:17	892756/892756	---M--	200	added ('OK')	image/jpeg	etag:%22348f475b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/contato.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/contato.jpg	(from https://www.mudes.org.br/Institucional/Contatos)
13:58:17	1177367/1177367	---M--	200	added ('OK')	image/jpeg	etag:%226feb245b454dd51:0%22	https://www.mudes.org.br/ImagensCanalEstudante/estagio-aprendiz.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEstudante/estagio-aprendiz.jpg	(from https://www.mudes.org.br/Institucional/Estagio)
13:58:17	1602/1602	---M-Z	200	added ('OK')	text/css	etag:%2279dca5a454dd51:0%22	https://www.mudes.org.br/Content/EstiloInternoEmpresa.css	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Content/EstiloInternoEmpresa.css	(from https://www.mudes.org.br/Canal_Empresa/solicite-seu-convenio)
13:58:20	1555079/1555079	---M--	200	added ('OK')	image/jpeg	etag:%226ea755b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/voluntario.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/voluntario.jpg	(from https://www.mudes.org.br/Institucional/Jovem_Voluntario)
13:58:20	1523223/1523223	---M--	200	added ('OK')	image/jpeg	etag:%222734e5b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/juventudeAprendiz.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/juventudeAprendiz.jpg	(from https://www.mudes.org.br/Institucional/Juventude_Aprendiz)
13:58:22	504477/504477	---M--	200	added ('OK')	image/png	etag:%22e4ca15b454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaSolicitarConvenio.png	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaSolicitarConvenio.png	(from https://www.mudes.org.br/Canal_Empresa/solicite-seu-convenio)
13:58:23	23279/23279	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Nov%202019%2016:58:02%20GMT	https://www.mudes.org.br/Canal_Empresa/CalculoCotas	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Canal_Empresa/CalculoCotas.html	(from https://www.mudes.org.br/Canal_Empresa/programa-juventude-aprendiz)
13:58:24	596224/596224	---M--	200	added ('OK')	image/png	etag:%226d48fe5a454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaAprendiz.png	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaAprendiz.png	(from https://www.mudes.org.br/Canal_Empresa/programa-juventude-aprendiz)
13:58:36	662344/662344	---M--	200	added ('OK')	image/png	etag:%22e3fffb5a454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaEstagio.png	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaEstagio.png	(from https://www.mudes.org.br/Canal_Empresa/programa-estagio)
13:58:43	1634729/1634729	---M--	200	added ('OK')	application/pdf	etag:%2228dc9bfd988dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/Proposta_Juventude_Aprendiz_Fundacao_Mudes.pdf	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/Proposta_Juventude_Aprendiz_Fundacao_Mudes.pdf	(from https://www.mudes.org.br/Canal_Empresa/programa-juventude-aprendiz)
13:58:48	1038094/1038094	---M--	200	added ('OK')	application/pdf	etag:%22e774bde667d51:0%22	https://www.mudes.org.br/Imagens/cartilha-mte-estagio.pdf	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Imagens/cartilha-mte-estagio.pdf	(from https://www.mudes.org.br/Canal_Empresa/programa-estagio)
13:58:48	19164/19164	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Nov%202019%2016:58:27%20GMT	https://www.mudes.org.br/Canal_Empresa/Empresa/quiz-contratacao-de-estagiarios-responda-e-saiba-em-que-nivel-sua-empresa-93	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Canal_Empresa/Empresa/quiz-contratacao-de-estagiarios-responda-e-saiba-em-que-nivel-sua-empresa-93.html	(from https://www.mudes.org.br/Canal_Empresa/programa-estagio)
13:58:49	30809/30809	---M--	200	added ('OK')	image/png	etag:%2287b6ec5a454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaPCD.png	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaPCD.png	(from https://www.mudes.org.br/Canal_Empresa/programa-PCD)
13:58:55	2437212/2437212	---M--	200	added ('OK')	application/pdf	etag:%2257409bfd988dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/Proposta_Estagio_Fundacao_Mudes.pdf	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/Proposta_Estagio_Fundacao_Mudes.pdf	(from https://www.mudes.org.br/Canal_Empresa/programa-estagio)
